test_user,exp_reward,model
1,-0.11872539072115273,Inv
1,-0.12085746127340702,Full
1,-0.00835349421779874,Random
2,0.39043031059436695,Inv
2,0.39043031059436695,Full
2,0.10619080395812208,Random
3,-0.26372480533129217,Inv
3,-0.3377793457903788,Full
3,-0.21597804133129594,Random
4,0.7753605894013598,Inv
4,0.7414815358528362,Full
4,0.3519669927553881,Random
6,0.25880522010739204,Inv
6,0.1546534215681281,Full
6,0.23997994166045356,Random
7,0.3210344270156784,Inv
7,0.33804522623481637,Full
7,0.15127600158422982,Random
8,0.6515373063337315,Inv
8,0.6515373063337315,Full
8,0.5909813489420199,Random
9,-0.39608386806167317,Inv
9,-0.4728271031617055,Full
9,-0.41453875199212264,Random
10,-0.22643795244656717,Inv
10,-0.23881213965257198,Full
10,-0.1246945838226372,Random
11,0.17679571472231892,Inv
11,0.22985618295096355,Full
11,0.072093968497291,Random
14,-0.2751223567428198,Inv
14,-0.3222861031227531,Full
14,-0.15402165397654333,Random
15,0.05880949170984939,Inv
15,0.0521790571252434,Full
15,-0.15926612022941633,Random
16,0.7826771504681824,Inv
16,0.6707720941573108,Full
16,0.33799435732773286,Random
19,0.23705448640633708,Inv
19,0.18162640166476463,Full
19,0.07150154615965976,Random
20,0.26084181525928285,Inv
20,0.15765052837330984,Full
20,0.19591836618830216,Random
21,0.10219374059662467,Inv
21,0.06210205952794823,Full
21,0.005977771099276108,Random
23,-0.06048530691851983,Inv
23,-0.06048530691851983,Full
23,-0.11955475864108189,Random
24,0.7255770650589413,Inv
24,0.7520984755299422,Full
24,0.33503399524092403,Random
26,-0.045385268038945714,Inv
26,-0.045385268038945714,Full
26,-0.15930623064351446,Random
28,-0.328346466677123,Inv
28,-0.2925067661844545,Full
28,-0.20688132616649613,Random
29,0.43895295288829095,Inv
29,0.26895407760712464,Full
29,0.3842272236879811,Random
30,0.47675082870782814,Inv
30,0.6363617397383625,Full
30,0.20748772888692857,Random
32,0.09258905778376025,Inv
32,0.09258905778376025,Full
32,0.21779166308979558,Random
33,0.43574287464188366,Inv
33,0.33711852793759256,Full
33,0.2692230430790996,Random
34,-0.2197429416148271,Inv
34,-0.2615949497424461,Full
34,-0.05433300135940966,Random
36,0.7116627550453347,Inv
36,0.626587956179546,Full
36,0.18633721917091384,Random
37,0.2562094908933621,Inv
37,0.3324100711114908,Full
37,0.01133161434479435,Random
